"","species","input","matched_name","SYNONYM","contributor","review_flag","match_code","match_sim","SPECIES_NR","VALID_NR"
"799","polypodium lycopodiodes","polypodium lycopodiodes","Polypodium lycopodioides f. obtusum","Synonym","literature2021","CHECK_fuzzy",2,0.984615384615385,5984,5960
"800","polypodium muenchii","polypodium muenchii","Polypodium munchii","Synonym","GBIF2026; JimenezDA; literature2021; OAX2025","CHECK_fuzzy",2,0.966666666666667,88106,88103
"801","polypodium nigrolimbatum","polypodium nigrolimbatum","Polypodium nigro-limbatum","Synonym","GBIF2026","CHECK_fuzzy",2,0.985714285714286,4266,4258
"802","polypodium plebeiu","polypodium plebeiu","Polypodium plebeium var. columbiense","Synonym","literature2021","CHECK_fuzzy",2,0.975,8014,8008
"803","polypodium polypodiodes","polypodium polypodiodes","Polypodium polypodioides var. microlepis","Synonym","HGOM2025","CHECK_fuzzy",2,0.984615384615385,7976,7966
"804","polypodium polypodioiodes","polypodium polypodioiodes","Polypodium polypodioides var. microlepis","Synonym","SEL2021","CHECK_fuzzy",2,0.985714285714286,7976,7966
"805","polypodium ptilodon","polypodium ptilodon","Polypodium ptiloton var. pilosum","Synonym","GBIF2026","CHECK_fuzzy",2,0.95,61574,61573
"806","polypodium rhodopeuron","polypodium rhodopeuron","Polypodium rhodopleuron","Accepted","KesslerM","CHECK_fuzzy",2,0.983333333333333,14983,14983
"807","polypodium sessifolium","polypodium sessifolium","Polypodium sessilifolium","Synonym","literature2021","CHECK_fuzzy",2,0.932867132867133,9497,9491
"808","polypodium sordidulum","polypodium sordidulum","Polypodium sordidum","Synonym","GBIF2026","CHECK_fuzzy",2,0.96,52611,52608
"809","polypodium thyssanolepsis","polypodium thyssanolepsis","Polypodium thyssanolepis","Accepted","literature2021","CHECK_fuzzy",2,0.97032967032967,91162,91162
"810","polypodium trisenale","polypodium trisenale","Polypodium triseriale","Synonym","GUYN2008","CHECK_fuzzy",2,0.937777777777778,9536,9504
"811","polypodium tweedieanum","polypodium tweedieanum","Polypodium tweedianum","Synonym","GBIF2026","CHECK_fuzzy",2,0.981818181818182,88117,88112
"812","polytaenium cajenese","polytaenium cajenese","Polytaenium cajenense","Accepted","HEM2025","CHECK_fuzzy",2,0.977777777777778,8437,8437
"813","polytaenium jenmanii","polytaenium jenmanii","Polytaenium jenmani","Accepted","GBIF2026","CHECK_fuzzy",2,0.975,90307,90307
"814","polytaenium urbani","polytaenium urbani","Polytaenium urbanii","Accepted","GBIF2026","CHECK_fuzzy",2,0.971428571428571,68263,68263
"815","ponthieva vasquezii","ponthieva vasquezii","Ponthieva vasqueziae","Accepted","GBIF2026","CHECK_fuzzy",2,0.937777777777778,68344,68344
"816","porroglossum eduardii","porroglossum eduardii","Porroglossum eduardi","Accepted","SEL2021","CHECK_fuzzy",2,0.975,13732,13732
"817","prosthechea varicose","prosthechea varicose","Prosthechea varicosa","Accepted","literature2021","CHECK_fuzzy",2,0.95,69094,69094
"818","pseudolaelia dutrae","pseudolaelia dutrae","Pseudolaelia dutraei","Accepted","GBIF2026; SEL2021","CHECK_fuzzy",2,0.971428571428571,8596,8596
"819","psychopsis versteegianum","psychopsis versteegianum","Psychopsis versteegiana","Accepted","ATRIUM2017","CHECK_fuzzy",2,0.952564102564102,13782,13782
"820","puya gerdmuelleri","puya gerdmuelleri","Puya gerd-muelleri","Accepted","ZizkaA","CHECK_fuzzy",2,0.984615384615385,69438,69438
"821","quesnelia augustocoburgii","quesnelia augustocoburgii","Quesnelia augusto-coburgii","Accepted","ZizkaA","CHECK_fuzzy",2,0.9875,69643,69643
"822","quesnelia strobilispica","quesnelia strobilispica","Quesnelia strobilospica","Synonym","GBIF2026; ZizkaA","CHECK_fuzzy",2,0.944230769230769,69646,69644
"823","racinaea adpresa","racinaea adpresa","Racinaea adpressa","Accepted","UIS2024","CHECK_fuzzy",2,0.975,73559,73559
"824","racinaea aerisincola","racinaea aerisincola","Racinaea aeris-incola","Accepted","AssisI; ZizkaA","CHECK_fuzzy",2,0.983333333333333,73584,73584
"825","racinaea amultiflora","racinaea amultiflora","Racinaea multiflora","Accepted","PRG2025","CHECK_fuzzy",2,0.96969696969697,74330,74330
"826","racinaea euryelyatra","racinaea euryelyatra","Racinaea euryelytra","Accepted","literature2021","CHECK_fuzzy",2,0.951818181818182,84789,84789
"827","racinaea sanctaemartae","racinaea sanctaemartae","Racinaea sanctae-martae","Accepted","ZizkaA","CHECK_fuzzy",2,0.985714285714286,74588,74588
"828","rapanea myricoides","rapanea myricoides","Rapanea myrioides","Synonym","GBIF2026","CHECK_fuzzy",2,0.98,83837,83804
"829","rhipsalis bacciferaa","rhipsalis bacciferaa","Rhipsalis baccifera","Accepted","literature2021","CHECK_fuzzy",2,0.98,70090,70090
"830","rhipsalis bartlettii","rhipsalis bartlettii","Rhipsalis barthlottii","Accepted","GBIF2026; OAX2025","CHECK_fuzzy",2,0.943636363636364,86065,86065
"831","rhipsalis micranta","rhipsalis micranta","Rhipsalis micrantha","Accepted","literature2021","CHECK_fuzzy",2,0.977777777777778,8887,8887
"832","rhynchostele cervantessii","rhynchostele cervantessii","Rhynchostele cervantesii","Accepted","literature2021","CHECK_fuzzy",2,0.983333333333333,70595,70595
"833","rhynchostele maculate","rhynchostele maculate","Rhynchostele maculata","Accepted","literature2021","CHECK_fuzzy",2,0.95,70637,70637
"834","rhynchostele uroskinneri","rhynchostele uroskinneri","Rhynchostele ureskinneri","Accepted","GBIF2026; JimenezDA","CHECK_fuzzy",2,0.951515151515152,70693,70693
"835","ruellia angustifolia","ruellia angustifolia","Ruellia angustiflora","Accepted","GBIF2026","CHECK_fuzzy",2,0.948484848484848,84861,84861
"836","ruellia angustior","ruellia angustior","Ruellia angustiflora","Accepted","GBIF2026; HUA2025","CHECK_fuzzy",2,0.95,84861,84861
"837","ruellia longiflora","ruellia longiflora","Ruellia longifolia","Synonym","GBIF2026","CHECK_fuzzy",2,0.937777777777778,91340,91338
"838","ruyschia valerii","ruyschia valerii","Ruyschia valerioi","Accepted","CR2024; GBIF2026","CHECK_fuzzy",2,0.975,71086,71086
"839","salpichroa cuspidata","salpichroa cuspidata","Salpichroa cuspidatum","Synonym","GBIF2026","CHECK_fuzzy",2,0.937777777777778,4925,4922
"840","scaphyglottis acostae","scaphyglottis acostae","Scaphyglottis acostaei","Accepted","CR2024; GBIF2026; SEL2021","CHECK_fuzzy",2,0.975,71381,71381
"841","scaphyglottis amazonicaa","scaphyglottis amazonicaa","Scaphyglottis amazonica","Synonym","literature2021","CHECK_fuzzy",2,0.98,71414,71410
"842","scaphyglottis amethytina","scaphyglottis amethytina","Scaphyglottis amethystina","Synonym","literature2021","CHECK_fuzzy",2,0.981818181818182,71625,71622
"843","scaphyglottis propingua","scaphyglottis propingua","Scaphyglottis propinqua","Accepted","GUYN2008","CHECK_fuzzy",2,0.955555555555556,71552,71552
"844","scaphyglottis sumersii","scaphyglottis sumersii","Scaphyglottis summersii","Accepted","ATRIUM2017","CHECK_fuzzy",2,0.974074074074074,71633,71633
"845","schefflera ferrugiunea","schefflera ferrugiunea","Schefflera ferruginea","Synonym","INABIOEC","CHECK_fuzzy",2,0.981818181818182,66711,66705
"846","schefflera rodrigueziana","schefflera rodrigueziana","Schefflera rodriguesiana","Synonym","literature2021","CHECK_fuzzy",2,0.969230769230769,9037,9035
"847","schlegelia dariensis","schlegelia dariensis","Schlegelia darienensis","Accepted","literature2021","CHECK_fuzzy",2,0.963636363636364,88729,88729
"848","schultesianthus crosbyanus","schultesianthus crosbyanus","Schultesianthus crosbianus","Accepted","CR2024; GBIF2026","CHECK_fuzzy",2,0.96,71963,71963
"849","sciodaphyllum quindiuense","sciodaphyllum quindiuense","Sciodaphyllum quinduense","Accepted","HUA2025","CHECK_fuzzy",2,0.981818181818182,78754,78754
"850","sciodaphyllum sphaerocomum","sciodaphyllum sphaerocomum","Sciodaphyllum sphaerocoma","Accepted","CR2024; HUA2025; INABIOEC","CHECK_fuzzy",2,0.948484848484848,66800,66800
"851","scoliosorus ensitormis","scoliosorus ensitormis","Scoliosorus ensiformis","Accepted","literature2021","CHECK_fuzzy",2,0.96,9060,9060
"852","scuticaria steelei","scuticaria steelei","Scuticaria steelii","Accepted","INABIOEC","CHECK_fuzzy",2,0.942857142857143,72008,72008
"853","sedum botteri","sedum botteri","Sedum botterii","Accepted","GBIF2026; literature2021","CHECK_fuzzy",2,0.975,9078,9078
"854","sedum bottieri","sedum bottieri","Sedum botterii","Accepted","literature2021","CHECK_fuzzy",2,0.9625,9078,9078
"855","sedum torulosum","sedum torulosum","Sedum tortuosum","Accepted","GBIF2026","CHECK_fuzzy",2,0.948148148148148,72024,72024
"856","selaginella macrostachya","selaginella macrostachya","Selaginella microstachya","Accepted","GBIF2026","CHECK_fuzzy",2,0.95,91170,91170
"857","selaginella polyptera","selaginella polyptera","Selaginella polysperma","Synonym","GBIF2026; HUAP2024","CHECK_fuzzy",2,0.937777777777778,72057,72045
"858","selaginella vernicosa","selaginella vernicosa","Selaginella ventricosa","Accepted","GBIF2026","CHECK_fuzzy",2,0.943703703703704,86072,86072
"859","sobralia fragans","sobralia fragans","Sobralia fragrans","Accepted","literature2021; literature2024","CHECK_fuzzy",2,0.975,72358,72358
"860","sobralia macranta","sobralia macranta","Sobralia macrantha","Accepted","literature2024","CHECK_fuzzy",2,0.977777777777778,80835,80835
"861","sobralia marianneae","sobralia marianneae","Sobralia mariannae","Accepted","SEL2021","CHECK_fuzzy",2,0.957777777777778,72363,72363
"862","solanum adspersum","solanum adspersum","Solanum asperum","Synonym","GBIF2026","CHECK_fuzzy",2,0.933333333333333,80930,80920
"863","solanum aspersum","solanum aspersum","Solanum asperum","Synonym","GBIF2026; HUA2025; INABIOEC","CHECK_fuzzy",2,0.975,80930,80920
"864","solanum capense","solanum capense","Solanum caripense","Accepted","GBIF2026","CHECK_fuzzy",2,0.940740740740741,81465,81465
"865","solanum dillonii","solanum dillonii","Solanum dillenii","Synonym","GBIF2026; INABIOEC","CHECK_fuzzy",2,0.95,80937,80920
"866","solanum heterotrichum","solanum heterotrichum","Solanum heteroclitum","Synonym","GBIF2026","CHECK_fuzzy",2,0.934382284382284,54100,54088
"867","solanum mariannae","solanum mariannae","Solanum mariae","Accepted","GBIF2026","CHECK_fuzzy",2,0.933333333333333,91399,91399
"868","solanum ptycanthum","solanum ptycanthum","Solanum ptychanthum","Synonym","GBIF2026","CHECK_fuzzy",2,0.941818181818182,80995,80920
"869","solanum pulverulentifolium","solanum pulverulentifolium","Solanum pulverulentum","Synonym","GBIF2026","CHECK_fuzzy",2,0.944444444444444,72410,72406
"870","solanum tabacifolium","solanum tabacifolium","Solanum tabaccifolium","Synonym","GBIF2026","CHECK_fuzzy",2,0.984615384615385,72411,72406
"871","solanum tenuifolium","solanum tenuifolium","Solanum tenuiflorum","Synonym","GBIF2026","CHECK_fuzzy",2,0.943636363636364,81004,80920
"872","specklinia fuegii","specklinia fuegii","Specklinia fuegi","Accepted","HEM2025; literature2021","CHECK_fuzzy",2,0.966666666666667,15007,15007
"873","specklinia imraei","specklinia imraei","Specklinia imrayi","Synonym","CR2024; HUA2025","CHECK_fuzzy",2,0.933333333333333,73822,73813
"874","sphaeradenia cuatrecasasiana","sphaeradenia cuatrecasasiana","Sphaeradenia cuatrecasana","Accepted","GBIF2026; HUA2025; JimenezA","CHECK_fuzzy",2,0.943333333333333,72761,72761
"875","sphaeradenia longepedunculata","sphaeradenia longepedunculata","Sphaeradenia longipedunculata","Synonym","GBIF2026","CHECK_fuzzy",2,0.961666666666667,72793,72792
"876","sphyrospermum grandiflorum","sphyrospermum grandiflorum","Sphyrospermum grandifolium","Accepted","GBIF2026","CHECK_fuzzy",2,0.948484848484848,72836,72836
"877","sphyrospermum weberbaueri","sphyrospermum weberbaueri","Sphyrospermum weberbauerii","Accepted","GBIF2026","CHECK_fuzzy",2,0.983333333333333,88535,88535
"878","stanhopea jenishiana","stanhopea jenishiana","Stanhopea jenischiana","Accepted","GBIF2026","CHECK_fuzzy",2,0.981818181818182,72955,72955
"879","stelis citrinella","stelis citrinella","Stelis citrina","Synonym","SEL2021","CHECK_fuzzy",2,0.94,74457,74452
"880","stelis floriani","stelis floriani","Stelis florianii","Accepted","literature2021","CHECK_fuzzy",2,0.977777777777778,73656,73656
"881","stelis guatamalensis","stelis guatamalensis","Stelis guatemalensis","Synonym","INABIOEC","CHECK_fuzzy",2,0.944230769230769,9706,9703
"882","stelis imraei","stelis imraei","Stelis imrayi","Accepted","CR2024","CHECK_fuzzy",2,0.933333333333333,73813,73813
"883","stelis marginata","stelis marginata","Stelis emarginata","Accepted","SEL2021","CHECK_fuzzy",2,0.966666666666667,73566,73566
"884","stelis morgani","stelis morgani","Stelis morganii","Accepted","INABIOEC","CHECK_fuzzy",2,0.975,74076,74076
"885","stelis nexiopus","stelis nexiopus","Stelis nexipous","Accepted","literature2021","CHECK_fuzzy",2,0.975,74131,74131
"886","stelis ornate","stelis ornate","Stelis ornata","Accepted","literature2021","CHECK_fuzzy",2,0.933333333333333,74215,74215
"887","stelis parpides","stelis parpides","Stelis pardipes","Accepted","literature2021","CHECK_fuzzy",2,0.970833333333333,9703,9703
"888","stelis pygamea","stelis pygamea","Stelis pygmaea","Accepted","GUYN2008","CHECK_fuzzy",2,0.966666666666667,74470,74470
"889","stelis regia","stelis regia","Stelis regina","Accepted","SEL2021","CHECK_fuzzy",2,0.966666666666667,74478,74478
"890","stelis scopula","stelis scopula","Stelis scopulosa","Accepted","INABIOEC","CHECK_fuzzy",2,0.955555555555556,74596,74596
"891","stelis secundosa","stelis secundosa","Stelis secunda","Accepted","SEL2021","CHECK_fuzzy",2,0.955555555555556,74598,74598
"892","stelis supervirens","stelis supervirens","Stelis supervivens","Accepted","INABIOEC","CHECK_fuzzy",2,0.963636363636364,74683,74683
"893","stelis trulliabia","stelis trulliabia","Stelis trullilabia","Accepted","SEL2021","CHECK_fuzzy",2,0.981818181818182,85408,85408
"894","stelis viridi-brunnea","stelis viridi-brunnea","Stelis viridibrunnea","Accepted","SEL2021","CHECK_fuzzy",2,0.985714285714286,74876,74876
"895","stelis wercklei","stelis wercklei","Stelis werklei","Accepted","CR2024","CHECK_fuzzy",2,0.970833333333333,74894,74894
"896","stenogrammitis mysouroides","stenogrammitis mysouroides","Stenogrammitis myosuroides","Synonym","KUELAP2024","CHECK_fuzzy",2,0.975757575757576,14348,14343
"897","stenorrhynchos speciosus","stenorrhynchos speciosus","Stenorrhynchos speciosum","Accepted","literature2021","CHECK_fuzzy",2,0.955555555555556,75118,75118
"898","syngonium yurimagense","syngonium yurimagense","Syngonium yurimaguense","Accepted","literature2021","CHECK_fuzzy",2,0.983333333333333,9813,9813
"899","telipogon albertii","telipogon albertii","Telipogon alberti","Accepted","GBIF2026","CHECK_fuzzy",2,0.975,75607,75607
"900","telipogon bullpenense","telipogon bullpenense","Telipogon bullpenensis","Accepted","literature2021","CHECK_fuzzy",2,0.948484848484848,75682,75682
"901","telipogon lehmanii","telipogon lehmanii","Telipogon lehmannii","Accepted","INABIOEC","CHECK_fuzzy",2,0.977777777777778,75794,75794
"902","telipogon salinasii","telipogon salinasii","Telipogon salinasiae","Accepted","ATRIUM2017","CHECK_fuzzy",2,0.937777777777778,75915,75915
"903","terpsichore alfarii","terpsichore alfarii","Terpsichore alfaroi","Synonym","literature2021","CHECK_fuzzy",2,0.942857142857143,18114,18110
"904","terpsichore aspleniifolia","terpsichore aspleniifolia","Terpsichore asplenifolia","Accepted","AssisI; KroemerT; literature2024","CHECK_fuzzy",2,0.951282051282051,89122,89122
"905","terpsichore culturata","terpsichore culturata","Terpsichore cultrata","Synonym","literature2021","CHECK_fuzzy",2,0.977777777777778,463,453
"906","thelypteris falcata","thelypteris falcata","Thelypteris falcatula","Synonym","CR2024; INABIOEC; JimenezDA; OAX2025","CHECK_fuzzy",2,0.955555555555556,73169,73143
"907","thoracocarpus bisectus","thoracocarpus bisectus","Thoracocarpus bissectus","Accepted","ATRIUM2017; CUZ2025","CHECK_fuzzy",2,0.974074074074074,76188,76188
"908","tillandsia achyrostahys","tillandsia achyrostahys","Tillandsia achyrostachys","Accepted","literature2021","CHECK_fuzzy",2,0.984615384615385,76608,76608
"909","tillandsia acostasolisii","tillandsia acostasolisii","Tillandsia acosta-solisii","Synonym","INABIOEC","CHECK_fuzzy",2,0.985714285714286,73556,73555
"910","tillandsia arizajuliae","tillandsia arizajuliae","Tillandsia ariza-juliae","Accepted","ZizkaA","CHECK_fuzzy",2,0.983333333333333,76678,76678
"911","tillandsia bifiora","tillandsia bifiora","Tillandsia biflora","Accepted","literature2021","CHECK_fuzzy",2,0.933333333333333,76747,76747
"912","tillandsia calcicola","tillandsia calcicola","Tillandsia cacticola","Accepted","SEL2021; ZizkaA","CHECK_fuzzy",2,0.940740740740741,76846,76846
"913","tillandsia califanii","tillandsia califanii","Tillandsia califani","Accepted","OAX2025; ZizkaA","CHECK_fuzzy",2,0.977777777777778,76850,76850
"914","tillandsia capilloris","tillandsia capilloris","Tillandsia capillaris f. cordobensis","Synonym","ISV2025","CHECK_fuzzy",2,0.96,74167,74165
"915","tillandsia caputmedusae","tillandsia caputmedusae","Tillandsia caput-medusae","Accepted","ZizkaA","CHECK_fuzzy",2,0.984615384615385,76902,76902
"916","tillandsia carloshankii","tillandsia carloshankii","Tillandsia carlos-hankii","Accepted","ZizkaA","CHECK_fuzzy",2,0.984615384615385,76904,76904
"917","tillandsia circinnatoides","tillandsia circinnatoides","Tillandsia circinnatioides","Accepted","ZizkaA","CHECK_fuzzy",2,0.972380952380952,76943,76943
"918","tillandsia comata","tillandsia comata","Tillandsia compacta","Accepted","GBIF2026","CHECK_fuzzy",2,0.941666666666667,76958,76958
"919","tillandsia complanta","tillandsia complanta","Tillandsia complanata","Accepted","GBIF2026","CHECK_fuzzy",2,0.957777777777778,76970,76970
"920","tillandsia crista-galli","tillandsia crista-galli","Tillandsia crista-gallii","Accepted","GBIF2026","CHECK_fuzzy",2,0.984615384615385,76993,76993
"921","tillandsia cristagallii","tillandsia cristagallii","Tillandsia crista-gallii","Accepted","ZizkaA","CHECK_fuzzy",2,0.984615384615385,76993,76993
"922","tillandsia depeanna","tillandsia depeanna","Tillandsia deppeana var. clavigera","Synonym","literature2021","CHECK_fuzzy",2,0.941666666666667,76945,76944
"923","tillandsia elizabethiae","tillandsia elizabethiae","Tillandsia elizabethae","Accepted","SEL2021","CHECK_fuzzy",2,0.983333333333333,77125,77125
"924","tillandsia elviraegrossiae","tillandsia elviraegrossiae","Tillandsia elvirae-grossiae","Accepted","ZizkaA","CHECK_fuzzy",2,0.9875,77141,77141
"925","tillandsia fenuifolia","tillandsia fenuifolia","Tillandsia tenuifolia","Accepted","GUYN2008","CHECK_fuzzy",2,0.933333333333333,77754,77754
"926","tillandsia fragans","tillandsia fragans","Tillandsia fragrans","Accepted","UIS2024","CHECK_fuzzy",2,0.975,77204,77204
"927","tillandsia francisci","tillandsia francisci","Tillandsia franciscoi","Accepted","GBIF2026","CHECK_fuzzy",2,0.98,77206,77206
"928","tillandsia frankhasei","tillandsia frankhasei","Tillandsia frank-hasei","Accepted","ZizkaA","CHECK_fuzzy",2,0.981818181818182,77207,77207
"929","tillandsia guenthernolleri","tillandsia guenthernolleri","Tillandsia guenther-nolleri","Accepted","ZizkaA","CHECK_fuzzy",2,0.9875,77250,77250
"930","tillandsia gynmnobotrya","tillandsia gynmnobotrya","Tillandsia gymnobotrya","Accepted","literature2021","CHECK_fuzzy",2,0.953535353535354,77252,77252
"931","tillandsia huamelulaensis","tillandsia huamelulaensis","Tillandsia huamenulaensis","Accepted","GBIF2026; ZizkaA","CHECK_fuzzy",2,0.940659340659341,77278,77278
"932","tillandsia juergrutschmannii","tillandsia juergrutschmannii","Tillandsia juerg-rutschmannii","Accepted","ZizkaA","CHECK_fuzzy",2,0.988888888888889,77320,77320
"933","tillandsia juncae","tillandsia juncae","Tillandsia juncea","Accepted","OAX2025","CHECK_fuzzy",2,0.966666666666667,77321,77321
"934","tillandsia kirchoffiana","tillandsia kirchoffiana","Tillandsia kirchhoffiana","Accepted","literature2021","CHECK_fuzzy",2,0.984615384615385,77335,77335
"935","tillandsia lomaeblancae","tillandsia lomaeblancae","Tillandsia loma-blancae","Accepted","ZizkaA","CHECK_fuzzy",2,0.966666666666667,9886,9886
"936","tillandsia macroclamys","tillandsia macroclamys","Tillandsia macrochlamys","Accepted","OAX2025","CHECK_fuzzy",2,0.983333333333333,77413,77413
"937","tillandsia marnieri-lapostollei","tillandsia marnieri-lapostollei","Tillandsia marnieri-apostollei","Accepted","GBIF2026; INABIOEC","CHECK_fuzzy",2,0.953157894736842,77430,77430
"938","tillandsia marthecioides","tillandsia marthecioides","Tillandsia narthecioides","Synonym","literature2021","CHECK_fuzzy",2,0.948717948717949,74339,74338
"939","tillandsia parensis","tillandsia parensis","Tillandsia paraensis","Accepted","GUYN2008","CHECK_fuzzy",2,0.974074074074074,77517,77517
"940","tillandsia pseudobailey","tillandsia pseudobailey","Tillandsia pseudobaileyi","Accepted","literature2021","CHECK_fuzzy",2,0.984615384615385,77562,77562
"941","tillandsia rauhii","tillandsia rauhii","Tillandsia rauschii","Accepted","GBIF2026; PRG2025; SEL2021; ZizkaA","CHECK_fuzzy",2,0.941666666666667,77585,77585
"942","tillandsia recurvate","tillandsia recurvate","Tillandsia recurvata","Accepted","literature2021","CHECK_fuzzy",2,0.955555555555556,77588,77588
"943","tillandsia roland-gosselinii","tillandsia roland-gosselinii","Tillandsia roland-gosselini","Accepted","GBIF2026; SEL2021; ZizkaA","CHECK_fuzzy",2,0.988235294117647,77647,77647
"944","tillandsia rolandgosselinii","tillandsia rolandgosselinii","Tillandsia roland-gosselini","Accepted","ZizkaA","CHECK_fuzzy",2,0.975,77647,77647
"945","tillandsia santiagoensis","tillandsia santiagoensis","Tillandsia santiago-tuxtlensis","Synonym","GBIF2026","CHECK_fuzzy",2,0.936842105263158,76932,76931
"946","tillandsia schiedaena","tillandsia schiedaena","Tillandsia schiedeana","Accepted","literature2021","CHECK_fuzzy",2,0.98,15043,15043
"947","tillandsia strobeliae","tillandsia strobeliae","Tillandsia strobelii","Synonym","ZizkaA","CHECK_fuzzy",2,0.937777777777778,80301,80300
"948","tillandsia tovariensis","tillandsia tovariensis","Tillandsia tovarensis","Accepted","literature2021","CHECK_fuzzy",2,0.941818181818182,77768,77768
"949","tillandsia urticulata","tillandsia urticulata","Tillandsia utriculata","Accepted","BAR2025","CHECK_fuzzy",2,0.97,77826,77826
"950","tillandsia waltertillii","tillandsia waltertillii","Tillandsia walter-tillii","Accepted","ZizkaA","CHECK_fuzzy",2,0.984615384615385,77889,77889
"951","tillandsia wernerrauhiana","tillandsia wernerrauhiana","Tillandsia werner-rauhiana","Accepted","ZizkaA","CHECK_fuzzy",2,0.986666666666667,85522,85522
"952","tillandsia yerbasantae","tillandsia yerbasantae","Tillandsia yerba-santae","Accepted","ZizkaA","CHECK_fuzzy",2,0.983333333333333,77930,77930
"953","tolumnia bahamense","tolumnia bahamense","Tolumnia bahamensis","Accepted","SEL2021","CHECK_fuzzy",2,0.937777777777778,77963,77963
"954","topobea dodsoniorum","topobea dodsoniorum","Topobea dodsonorum","Synonym","GBIF2026; INABIOEC","CHECK_fuzzy",2,0.981818181818182,74974,74973
"955","topobea subscaberula","topobea subscaberula","Topobea subscabrula","Synonym","GBIF2026; INABIOEC","CHECK_fuzzy",2,0.983333333333333,1115,1114
"956","trichocentrum albo-coccineum","trichocentrum albo-coccineum","Trichocentrum albococcineum","Accepted","SEL2021","CHECK_fuzzy",2,0.985714285714286,78166,78166
"957","trichocentrum mattogrossensis","trichocentrum mattogrossensis","Trichocentrum mattogrossense","Synonym","literature2021","CHECK_fuzzy",2,0.959047619047619,10021,10015
"958","trichocentrum natalieae","trichocentrum natalieae","Trichocentrum nataliae","Accepted","GBIF2026","CHECK_fuzzy",2,0.952777777777778,78309,78309
"959","trichocentrum pinelii","trichocentrum pinelii","Trichocentrum pineli","Synonym","GBIF2026","CHECK_fuzzy",2,0.971428571428571,10022,10015
"960","trichomanes ekmannii","trichomanes ekmannii","Trichomanes ekmanii","Accepted","literature2021","CHECK_fuzzy",2,0.975,3104,3104
"961","trichomanes kraussii","trichomanes kraussii","Trichomanes krausii","Accepted","literature2024","CHECK_fuzzy",2,0.975,3123,3123
"962","trichomanes ludovicianum","trichomanes ludovicianum","Trichomanes ludovicinum","Accepted","GBIF2026; ICESI2024","CHECK_fuzzy",2,0.983333333333333,89298,89298
"963","trichomanes luschnatianum","trichomanes luschnatianum","Trichomanes luschnathianum","Synonym","GBIF2026","CHECK_fuzzy",2,0.985714285714286,77663,77659
"964","trichomanes pinnatifidum","trichomanes pinnatifidum","Trichomanes pinnatum","Accepted","GBIF2026","CHECK_fuzzy",2,0.933333333333333,78643,78643
"965","trichomanes polypodiodes","trichomanes polypodiodes","Trichomanes polypodioides var. incisum","Synonym","literature2021","CHECK_fuzzy",2,0.984615384615385,78568,78566
"966","trichomanes torotumani","trichomanes torotumani","Trichomanes torotumanii","Synonym","GBIF2026","CHECK_fuzzy",2,0.981818181818182,78693,78691
"967","trichomanes trichopodium","trichomanes trichopodium","Trichomanes trichophorum","Synonym","CR2024; GBIF2026","CHECK_fuzzy",2,0.933333333333333,83217,83216
"968","trichopilia turialbae","trichopilia turialbae","Trichopilia turialvae","Accepted","CR2024; GBIF2026","CHECK_fuzzy",2,0.955555555555556,78779,78779
"969","trichosalpinx teagueii","trichosalpinx teagueii","Trichosalpinx teaguei","Accepted","ATRIUM2017","CHECK_fuzzy",2,0.975,79049,79049
"970","utricularia aurea","utricularia aurea","Utricularia aureola","Synonym","GBIF2026","CHECK_fuzzy",2,0.942857142857143,79475,79474
"971","utricularia striata","utricularia striata","Utricularia striatula","Accepted","GBIF2026","CHECK_fuzzy",2,0.955555555555556,79548,79548
"972","vaccinium maathewsii","vaccinium maathewsii","Vaccinium mathewsii","Accepted","KUELAP2024","CHECK_fuzzy",2,0.973333333333333,79663,79663
"973","vaccinium myrsinites","vaccinium myrsinites","Vaccinium myrsinoides","Accepted","GBIF2026","CHECK_fuzzy",2,0.943636363636364,79669,79669
"974","vaccinium saxatilis","vaccinium saxatilis","Vaccinium saxatile","Accepted","INABIOEC","CHECK_fuzzy",2,0.930555555555556,14596,14596
"975","vaccinium vaccinium","vaccinium vaccinium","Vaccinium vacciniaceum var. hispidum","Synonym","KUELAP2024","CHECK_fuzzy",2,0.95,79719,79718
"976","vanda bensoni","vanda bensoni","Vanda bensonii","Accepted","SEL2021","CHECK_fuzzy",2,0.975,79743,79743
"977","vandenboschia davallioides","vandenboschia davallioides","Vandenboschia davalloides","Accepted","GBIF2026","CHECK_fuzzy",2,0.965151515151515,89020,89020
"978","vanilla grandifolia","vanilla grandifolia","Vanilla grandiflora","Synonym","GBIF2026","CHECK_fuzzy",2,0.943636363636364,91380,91378
"979","vitekorchis excavata","vitekorchis excavata","Vitekorchis excavatus","Accepted","GBIF2026; INABIOEC; SEL2021","CHECK_fuzzy",2,0.930555555555556,79904,79904
"980","vittaria gardeniana","vittaria gardeniana","Vittaria gardneriana","Synonym","literature2021","CHECK_fuzzy",2,0.961818181818182,8784,8782
"981","vriesea albo-rubrobracteata","vriesea albo-rubrobracteata","Vriesea alborubrobracteata","Synonym","INABIOEC","CHECK_fuzzy",2,0.989473684210526,80010,80008
"982","vriesea altomacaensis","vriesea altomacaensis","Vriesea altomayoensis","Accepted","ZizkaA","CHECK_fuzzy",2,0.938461538461538,79931,79931
"983","vriesea correia-araujoi","vriesea correia-araujoi","Vriesea correia-arauji","Accepted","ZizkaA","CHECK_fuzzy",2,0.986666666666667,79993,79993
