"","species","input","matched_name","SYNONYM","contributor","review_flag","match_code","match_sim","SPECIES_NR","VALID_NR"
"594","peperomia bayajana","peperomia bayajana","Peperomia bayatana","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.95,7243,7241
"595","peperomia brachystachyos","peperomia brachystachyos","Peperomia brachystachya","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.956043956043956,62065,62064
"596","peperomia carthaginensis","peperomia carthaginensis","Peperomia catharinensis","Accepted","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.93992673992674,89218,89218
"597","peperomia cilifolia","peperomia cilifolia","Peperomia circulifolia","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.933333333333333,7300,7297
"598","peperomia coatzacoalcosensis","peperomia coatzacoalcosensis","Peperomia coatzalcoalcosensis","Accepted","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.967251461988304,61900,61900
"599","peperomia cordata","peperomia cordata","Peperomia cordulata","Accepted","GBIF2026; HUA2025; INABIOEC; peperomia_net2025","CHECK_fuzzy",2,0.955555555555556,84229,84229
"600","peperomia cordifolia","peperomia cordifolia","Peperomia cornifolia","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.953333333333333,62477,62475
"601","peperomia cordilimba","peperomia cordilimba","Peperomia cordulilimba","Accepted","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.946666666666667,61927,61927
"602","peperomia costulata","peperomia costulata","Peperomia costata","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.955555555555556,61928,61928
"603","peperomia cylindrica","peperomia cylindrica","Peperomia cylindribacca","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.933846153846154,7291,7285
"604","peperomia damazioi","peperomia damazioi","Peperomia damazii","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.975,7017,7017
"605","peperomia davidsonii","peperomia davidsonii","Peperomia davisii","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.94,7384,7376
