occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
UIS:Herbario:10608,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,Botánica II 2006,3384,G. Lozano,,UIS2024,1,Peperomia putumayoensis,1.981831,-76.263636,1980-07-23,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:10613,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,J. Pipoly,15581,R. Callejas,,UIS2024,1,Peperomia angustata,-3.783333,-70.25,1991-10-28,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:10680,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,Sandoval C.,59,R. Callejas,,UIS2024,1,Peperomia adscendens,7.042014,-72.98226,2002-02-20,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:10681,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),GENUS,UIS-H,Cacua Zulma,40,,,UIS2024,,,7.042014,-72.98226,2002-02-18,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:13151,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,Dueñas Ariel,329,R.Callejas,,UIS2024,1,Peperomia glabella,8.804255,-73.243162,2005-03-27,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:13164,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,Rodríguez B. Viviana,748,R. Callejas,hierba,UIS2024,1,Peperomia galioides,6.539633,-72.511695,2003-10-06,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:13166,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,Galindo Robinson,1215,R. Callejas,,UIS2024,1,Peperomia hartwegiana,6.565414,-72.528345,2003-07-07,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:14851,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,"Angarita Roberto, et al.",22,R. Callejas.,,UIS2024,1,Peperomia lanceolata,6.68683,-73.43923,2010-02-12,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:14853,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,"Angarita Roberto, et al.",8,R. Callejas.,,UIS2024,1,Peperomia lancifolia,6.68683,-73.43923,2010-02-12,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:15223,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,Aguilar-Cano José.,899,Jhon D. Ortíz L.,E,UIS2024,,,6.64584,-73.36064,2010-09-16,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:15528,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,"Bernal Rodrigo, et al.",3353,Ricardo Callejas.,,UIS2024,1,Peperomia obtusifolia,6.15,-73.35,2003-09-27,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
