occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
HIP2025_0023,PRESERVED_SPECIMEN,,Boelcke et al. 1985,HIP,SPECIES,Herbarium,Transecta BotÃ¡nica de la Patagonia Austral,2791,Transecta BotÃ¡nica de la Patagonia Austral,NV,HIP2025,0,,-51.85,-73.0333333,28511,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0024,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Edmundo Pisano,5142,Edmundo Pisano,NV,HIP2025,0,,-55.6166667,-67.5,29280,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0025,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Edmundo Pisano,5051,Edmundo Pisano,NV,HIP2025,0,,-55.6166667,-67.55,29270,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0026,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Edmundo Pisano,5078,Edmundo Pisano,NV,HIP2025,0,,-55.6166667,-67.5333333,29271,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0027,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Edmundo Pisano,5029,Edmundo Pisano,NV,HIP2025,0,,-55.7333333,-67.3166667,29269,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0028,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Orlando Dollenz,769,Orlando Dollenz,NV,HIP2025,0,,-55.7333333,-67.3166667,29272,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0029,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Ian Peters,,Edmundo Pisano,NV,HIP2025,0,,-54.7333333,-71.4666667,29630,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0030,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,"Uribe, P.",,Edmundo Pisano,NV,HIP2025,0,,-49.6169,-73.84994,30235,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0031,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Orlando Dollenz,1054,Orlando Dollenz,NV,HIP2025,0,,-49.6333333,-74.5,30046,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0032,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Orlando Dollenz,1147,Orlando Dollenz,NV,HIP2025,0,,-49.6166667,-75.4,30054,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0033,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,"Freas, K.E.",66,Edmundo Pisano,NV,HIP2025,0,,-54.0666667,-71.2,,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0034,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Edmundo Pisano,2970,C. Marticorena,NV,HIP2025,0,,-54.50375,-69.230806,25979,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0035,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,"Hickman, M.",6,Edmundo Pisano,NV,HIP2025,0,,-50.3666667,-73.6666667,31386,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
