"","occurrenceID","basisOfRecord","typeStatus","associatedReferences","institutionCode","taxonRank","collectionCode","recordedBy","recordNumber","identifiedBy","lifeForm","datasetID","matchCodeEpig","matchedNameEpig","decimalLatitude","decimalLongitude","eventDate","changes","discardReason","verbatimrecordedBy","verbatimidentifiedBy"
"582","assis_i_2026_specieslink_00582","PreservedSpecimen","",NA,"UEL","SPECIES","FUEL","Ferreira, C.D.M. | Bovini, M.G. et al.","41","Vieira, A.O.S.","E","assis_i_2026_specieslink",1,"Fuchsia regia",-21.972222,-46.391667,"2015-05-11","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","Ferreira, CDM; Bovini, MG; et al.","Vieira, AOS"
"583","assis_i_2026_specieslink_00583","PreservedSpecimen","",NA,"UEL","SPECIES","FUEL","Gonzatti, F.","1899","Gaio, J.","E","assis_i_2026_specieslink",1,"Stelis papaquerensis",-29.870833,-50.191111,"2015-04-23","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","Gonzatti, F","Gaio, J"
"584","assis_i_2026_specieslink_00584","PreservedSpecimen","",NA,"UEL","SPECIES","FUEL","Gonzatti, F.","1862","Gaio, J.","E","assis_i_2026_specieslink",1,"Octomeria crassifolia",0,0,"2015-04-21","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","Gonzatti, F","Gaio, J"
"585","assis_i_2026_specieslink_00585","PreservedSpecimen","",NA,"UNESP-IBILCE","SPECIES","SJRP","Gonzatti, F.","1865","Gonzatti, F.","E","assis_i_2026_specieslink",1,"Rhipsalis teres",-29.976944,-50.212778,"2015-04-21","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","","Gonzatti, F.","Gonzatti, F."
"586","assis_i_2026_specieslink_00586","PreservedSpecimen","",NA,"UEL","SPECIES","FUEL","Gonzatti, F. | Valduga, E.","1795","Gonzatti, F.","E","assis_i_2026_specieslink",1,"Peperomia glabella",-29.915,-50.215833,"2015-04-19","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","Gonzatti, F; Valduga, E","Gonzatti, F"
"587","assis_i_2026_specieslink_00587","PreservedSpecimen","",NA,"UEL","SPECIES","FUEL","Gonzatti, F. | Valduga, E.","1781","Gonzatti, F.","E","assis_i_2026_specieslink",1,"Peperomia catharinae",-29.850278,-50.241111,"2015-04-19","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","Gonzatti, F; Valduga, E","Gonzatti, F"
"588","assis_i_2026_specieslink_00588","PreservedSpecimen","",NA,"UNESP-IBILCE","SPECIES","SJRP","Lopes, A.G.",NA,"","H","assis_i_2026_specieslink",1,"Ficus citrifolia",-20.776944,-49.354444,"2015-04-01","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","values in column identifiedBy replaced with NA / standardize author names in recordedBy","A.G. Lopes",""
"589","assis_i_2026_specieslink_00589","PreservedSpecimen","",NA,"KEW","SPECIES","K","Fraga, C.N. | Gonzaga, D.R. | Reis, R.C.C. | Meneguzzo, T.E.C.","3657","","H","assis_i_2026_specieslink",1,"Ficus calyptroceras",-15.498055,-44.457778,"2015-02-09","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in recordedBy","Fraga, C.N.; Gonzaga, D.R.; Reis, R.C.C.; Meneguzzo, T.E.C.",""
"590","assis_i_2026_specieslink_00590","PreservedSpecimen","",NA,"UEL","SPECIES","FUEL","Pastorio, F.F. | de Gasper, A.L.","32","Fiaschi, P.","H","assis_i_2026_specieslink",1,"Oreopanax capitatus",-26.921389,-49.071944,"2015-02-07","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","Past�rio, FF; Gasper, AL de","Fiaschi, P"
"591","assis_i_2026_specieslink_00591","PreservedSpecimen","",NA,"UEMA","SPECIES","SLUI","Santos, K.N.","29","Ferreira, A.W.C.","E","assis_i_2026_specieslink",1,"Epidendrum ciliare",-2.562222,-44.310278,"2015-02-04","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","","Santos, K.N.","Ferreira, A.W.C."
"592","assis_i_2026_specieslink_00592","PreservedSpecimen","",NA,"UNESP-IBILCE","SPECIES","SJRP","Valduga, E.","610","Valduga, E.","H","assis_i_2026_specieslink",1,"Ficus luschnathiana",-29.897778,-50.169722,"2015-01-21","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","","Valduga, E.","Valduga, E."
"593","assis_i_2026_specieslink_00593","PreservedSpecimen","",NA,"UEL","SPECIES","FUEL","Gonzatti, F.","1538","Gonzatti, F.","H","assis_i_2026_specieslink",1,"Coussapoa microcarpa",-29.848333,-50.189722,"2015-01-20","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","Gonzatti, F","Gonzatti, F"
"594","assis_i_2026_specieslink_00594","PreservedSpecimen","",NA,"UNESP-IBILCE","SPECIES","SJRP","Gonzatti, F.","1538","Gonzatti, F.","H","assis_i_2026_specieslink",1,"Coussapoa microcarpa",-29.848333,-50.189722,"2015-01-20","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","","Gonzatti, F.","Gonzatti, F."
"595","assis_i_2026_specieslink_00595","PreservedSpecimen","",NA,"UEL","SPECIES","FUEL","Valduga, E.","575","Valduga, E.","E","assis_i_2026_specieslink",1,"Epidendrum fulgens",-29.868889,-50.186944,"2014-11-30","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","Valduga, E","Valduga, E"
"596","assis_i_2026_specieslink_00596","PreservedSpecimen","",NA,"UEL","SPECIES","FUEL","Valduga, E.","581","Valduga, E.","E","assis_i_2026_specieslink",1,"Rhipsalis teres",-29.868889,-50.186944,"2014-11-30","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","Valduga, E","Valduga, E"
"597","assis_i_2026_specieslink_00597","PreservedSpecimen","",NA,"UEL","SPECIES","FUEL","Valduga, E.","580","Radtke, G.","E","assis_i_2026_specieslink",1,"Tillandsia stricta",-29.868889,-50.186944,"2014-11-30","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","Valduga, E","Radtke, G"
